"css"	"msd"
30	0.026437519743347
50	0.0203476948909304
70	0.0157687287831298
90	0.0150505236793996
110	0.0145358696186351
130	0.0127553494478402
150	0.010790775499534
170	0.0086045688222284
190	0.00777711418746883
210	0.00642872500341419
230	0.00488823528435925
250	0.00364844319341461
270	0.00286978502787372
290	0.00233976138438874
