"css"	"msd"	"msd_sd"
30	0.00502311267795083	0.00288567393141684
50	0.00321490922485282	0.0018501997279737
70	0.000814722712868242	0.000469997772209376
90	0.00112336370300965	0.000647847387474495
110	0.000624963784649676	0.000360597789760009
130	0.000885996599740889	0.000511077963924925
150	0.000477429015256225	0.000275512295772858
170	0.00059197158531441	0.000341572872538204
190	0.000334897861866298	0.000193288660433548
210	0.000356359665492797	0.000205671082059824
230	0.00025387685724219	0.000146538678540342
250	0.000169878945965946	9.80629991750981e-05
270	0.000320887806351063	0.000185205250352578
290	0.000119302707990132	6.88712350288e-05
